theta0,theta1
633.1833333333333,4176103.8583333334
42206315087.36314,243426144767295.84
2.4602167645794017e+18,1.4189371480454315e+22
1.4340665678466824e+26,8.271020485609727e+29
8.359210255878206e+33,4.821198737915165e+37
4.8726047778173936e+41,2.8102889251593086e+45
2.8402536356964254e+49,1.6381245147111025e+53
1.655591020189463e+57,9.548669183704543e+60
9.650481885431704e+64,5.565943392032604e+68
5.625290273100635e+72,3.2444024656525364e+76
3.2789959125678475e+80,1.8911703942587632e+84
1.9113350018665425e+88,1.1023680008828718e+92
1.1141220016036203e+96,6.425730928633737e+99
6.4942452958015135e+103,3.7455747930030234e+107
3.7855119907276636e+111,2.1833050100905187e+115
2.206584503546121e+119,1.2726540065335471e+123
1.2862236820847957e+127,7.418332357872161e+130
7.49743033950021e+134,4.324164673928012e+138
4.3702710872611996e+142,2.5205665134974236e+146
2.5474420583178604e+150,1.469244588965514e+154
1.4849104119428006e+158,8.564263829757684e+161
8.65558030769158e+165,4.992131024102572e+169
5.045359629802646e+173,2.909925786640849e+177
2.940952875386267e+181,1.696203093002669e+185
